Color Name,R,G,B,,,,,,,,,,
Black,0,0,0,,,,,,,,,,
Lime,0,0,128,,,,,,,,,,
Blue,0,0,139,,,,,,,,,,
Aqua,0,0,205,,,,,,,,,,
Green,0,0,255,,,,,,,,,,
Teal,0,1,0,,,,,,,,,,
Navy,0,1,0,,,,,,,,,,
Dark Green,0,1,128,,,,,,,,,,
Medium Spring Green,0,1,139,,,,,,,,,,
Spring Green,0,1,255,,,,,,,,,,
Dark Cyan,0,2,0,,,,,,,,,,
Cyan,0,2,127,,,,,,,,,,
Dark Turquoise,0,2,154,,,,,,,,,,
Deep Sky Blue,0,2,209,,,,,,,,,,
Dark Blue,0,2,255,,,,,,,,,,
Medium Blue,0,2,255,,,,,,,,,,
Corn Flower Blue,25,25,112,,,,,,,,,,
Medium Aqua Marine,30,144,255,,,,,,,,,,
Dim Grey,32,17,170,,,,,,,,,,
Slate Blue,34,13,34,,,,,,,,,,
Olive Drab,46,13,87,,,,,,,,,,
Slate Gray,47,79,79,,,,,,,,,,
Light Slate Gray,50,20,50,,,,,,,,,,
Medium Slate Blue,60,17,113,,,,,,,,,,
Lawn Green,64,224,208,,,,,,,,,,
Chart Reuse,65,105,225,,,,,,,,,,
Aqua Marine,70,130,180,,,,,,,,,,
Gray,72,61,139,,,,,,,,,,
Maroon,72,209,204,,,,,,,,,,
Olive,75,0,130,,,,,,,,,,
Purple,85,10,47,,,,,,,,,,
Grey,95,158,160,,,,,,,,,,
Sky Blue,100,149,237,,,,,,,,,,
Light Sky Blue,102,205,170,,,,,,,,,,
Blue Violet,105,105,105,,,,,,,,,,
Dark Red,106,90,205,,,,,,,,,,
Dark Magenta,107,142,35,,,,,,,,,,
Saddle Brown,112,128,144,,,,,,,,,,
Dark Sea Green,119,136,153,,,,,,,,,,
Light Green,123,104,238,,,,,,,,,,
Medium Purple,124,252,0,,,,,,,,,,
Dark Violet,127,255,0,,,,,,,,,,
Pale Green,127,255,212,,,,,,,,,,
Dark Orchid,128,0,0,,,,,,,,,,
Yellow Green,128,0,128,,,,,,,,,,
Sienna,128,128,0,,,,,,,,,,
